commodity,snap_rank,snap_dollars_in_millions,snap_pct_total_expenditures,nonsnap_rank,nonsnap_dollars_in_millions,nonsnap_pct_total_expenditures
Soft drinks,1,357.7,0.054400000000000004,2,1263.3,0.0401
Fluid milk products,2,253.7,0.0385,1,1270.3,0.0403
Beef:grinds,3,201,0.0305,6,621.1,0.0197
Bag snacks,4,199.3,0.030299999999999997,5,793.9,0.0252
Cheese,5,186.4,0.028300000000000002,3,948.9,0.0301
Baked breads,6,163.7,0.024900000000000002,4,874.8,0.0278
Cold cereal,7,139.2,0.0212,7,583.9,0.018500000000000003
Chicken fresh,8,121.4,0.018500000000000003,11,477.8,0.0152
Frozen handhelds & snacks,9,101.5,0.0154,47,214.6,0.0068000000000000005
Lunchmeat,10,99.4,0.0151,17,386.1,0.0123
Candy â€ packaged,11,96.2,0.0146,8,527.7,0.0167
Infant formula,12,95.7,0.014499999999999999,80,124.8,0.004
Frozen pizza,13,90.2,0.0137,23,305.7,0.0097
Refrigerated juices/drinks,14,88.5,0.013500000000000002,14,412.8,0.0131
Ice cream ice milk & sherbets,15,86,0.0131,10,481.8,0.015300000000000001
Coffee & creamers,16,82.3,0.0125,9,519.4,0.0165
Cookies,17,78.2,0.011899999999999999,16,408.3,0.013000000000000001
Water â€ (sparkling & still),18,77,0.011699999999999999,18,379.2,0.012
Shelf stable juice,19,73.1,0.0111,28,282.2,0.009000000000000001
Eggs/muffins/potatoes,20,72,0.0109,20,358.7,0.011399999999999999
Frozen ss premium meals,21,68.6,0.0104,12,447.1,0.014199999999999999
Cakes,22,68.2,0.0104,38,240.9,0.0076
Bacon,23,66.1,0.01,27,283.2,0.009000000000000001
Traditional Mexican foods,24,62.6,0.0095,25,286.9,0.0091
Yogurt,25,59.9,0.0091,13,442.3,0.013999999999999999
Salad dressing & sandwich spreads,26,59.7,0.0091,30,280.9,0.0089
Dinner sausage,27,59.3,0.009000000000000001,46,222.6,0.0070999999999999995
Frozen prepared chicken,28,58.6,0.0089,74,136.4,0.0043
Baked sweet goods,29,57.5,0.0087,62,159.6,0.0051
Beef loins,30,56.3,0.0086,31,280.3,0.0089
Chicken frozen,31,54.8,0.0083,85,123,0.0039000000000000003
Deli meat: bulk,32,54.6,0.0083,15,411,0.013000000000000001
Frozen multi serve,33,53,0.008100000000000001,54,183.5,0.0058
Dinner mixesâ€dry,34,51.8,0.0079,72,140.3,0.0045000000000000005
Frozen breakfast foods,35,51.3,0.0078000000000000005,55,180.9,0.005699999999999999
Crackers & misc baked food,36,50.9,0.0077,21,323.7,0.0103
Frozen noveltiesâ€water ice,37,50.7,0.0077,43,229.7,0.0073
Margarines,38,50.3,0.0076,24,303,0.0096
Condiments & sauces,39,49.8,0.0076,52,187.2,0.0059
Potatoes,40,48.8,0.0074,34,265.2,0.0084
Frozen vegetable & veg dish,41,48.2,0.0073,33,266.9,0.0085
Hot dogs,42,45.5,0.0069,63,158.4,0.005
Can vegetables â€ shelf stable,43,45.3,0.0069,50,191.7,0.0060999999999999995
Shortening & oil,44,44.6,0.0068000000000000005,57,174.2,0.0055000000000000005
Sugars & sweeteners,45,43.3,0.0066,60,162.4,0.0052
Isotonic drinks,46,42.8,0.006500000000000001,53,185.3,0.0059
Salad mix,47,42.8,0.006500000000000001,22,319.4,0.0101
Milk byâ€products,48,42.5,0.006500000000000001,32,268.9,0.0085
Pork boneless loin/rib,49,41.5,0.0063,58,168,0.0053
Cnv breakfast&wholesome snacks,50,41.1,0.0062,45,226.1,0.0072
Frozen ss economy meals,51,40.9,0.0062,109,80.7,0.0026
Refrigerated dough products,52,40.5,0.0062,56,176.6,0.005600000000000001
Beef: round,53,40.4,0.0060999999999999995,75,134.2,0.0043
Dry bean veg&rice,54,39.9,0.0060999999999999995,59,166.1,0.0053
Convenient meals,55,38.7,0.0059,108,81,0.0026
Tomatoes,56,38.3,0.0058,35,261.7,0.0083
Candy â€ checklane,57,37.9,0.0058,64,154,0.0049
Berries,58,37.4,0.005699999999999999,19,373.5,0.011899999999999999
Grapes,59,36.1,0.0055000000000000005,39,235.7,0.0075
Bananas,60,36.1,0.0055000000000000005,36,261.4,0.0083
Peanut butter/jelly/jams&honey,61,36,0.0055000000000000005,42,231,0.0073
Pork thin meats,62,35,0.0053,93,106.8,0.0034000000000000002
Citrus,63,34.3,0.0052,37,251.7,0.008
Breakfast sausage,64,34.2,0.0052,79,126.7,0.004
Dry sauce/gravy/potatoes/stuffing,65,34,0.0052,87,119.2,0.0038
Salad & dips,66,33.9,0.0052,40,235.3,0.0075
