commodity,snap.rank,snap.dollars.in.mil,snap.percent.total.exp,non.snap.rank,non.snap.dollars.in.mil,non.snap.percent.total.exp
Soft drinks,1,357.7,0.0544,2,1263.3,0.0401
Fluid milk products,2,253.7,0.0385,1,1270.3,0.0403
Beef:grinds,3,201,0.0305,6,621.1,0.0197
Bag snacks,4,199.3,0.0303,5,793.9,0.0252
Cheese,5,186.4,0.0283,3,948.9,0.0301
Baked breads,6,163.7,0.0249,4,874.8,0.0278
Cold cereal,7,139.2,0.0212,7,583.9,0.0185
Chicken fresh,8,121.4,0.0185,11,477.8,0.0152
Frozen handhelds & snacks,9,101.5,0.0154,47,214.6,0.0068
Lunchmeat,10,99.4,0.0151,17,386.1,0.0123
Candy ‐ packaged,11,96.2,0.0146,8,527.7,0.0167
Infant formula,12,95.7,0.0145,80,124.8,0.004
Frozen pizza,13,90.2,0.0137,23,305.7,0.0097
Refrigerated juices/drinks,14,88.5,0.0135,14,412.8,0.0131
Ice cream ice milk & sherbets,15,86,0.0131,10,481.8,0.0153
Coffee & creamers,16,82.3,0.0125,9,519.4,0.0165
Cookies,17,78.2,0.0119,16,408.3,0.013
Water ‐ (sparkling & still),18,77,0.0117,18,379.2,0.012
Shelf stable juice,19,73.1,0.0111,28,282.2,0.009
Eggs/muffins/potatoes,20,72,0.0109,20,358.7,0.0114
Frozen ss premium meals,21,68.6,0.0104,12,447.1,0.0142
Cakes,22,68.2,0.0104,38,240.9,0.0076
Bacon,23,66.1,0.01,27,283.2,0.009
Traditional Mexican foods,24,62.6,0.0095,25,286.9,0.0091
Yogurt,25,59.9,0.0091,13,442.3,0.014
Salad dressing & sandwich spreads,26,59.7,0.0091,30,280.9,0.0089
Dinner sausage,27,59.3,0.009,46,222.6,0.0071
Frozen prepared chicken,28,58.6,0.0089,74,136.4,0.0043
Baked sweet goods,29,57.5,0.0087,62,159.6,0.0051
Beef loins,30,56.3,0.0086,31,280.3,0.0089
Chicken frozen,31,54.8,0.0083,85,123,0.0039
Deli meat: bulk,32,54.6,0.0083,15,411,0.013
Frozen multi serve,33,53,0.0081,54,183.5,0.0058
Dinner mixes‐dry,34,51.8,0.0079,72,140.3,0.0045
Frozen breakfast foods,35,51.3,0.0078,55,180.9,0.0057
Crackers & misc baked food,36,50.9,0.0077,21,323.7,0.0103
Frozen novelties‐water ice,37,50.7,0.0077,43,229.7,0.0073
Margarines,38,50.3,0.0076,24,303,0.0096
Condiments & sauces,39,49.8,0.0076,52,187.2,0.0059
Potatoes,40,48.8,0.0074,34,265.2,0.0084
Frozen vegetable & veg dish,41,48.2,0.0073,33,266.9,0.0085
Hot dogs,42,45.5,0.0069,63,158.4,0.005
Can vegetables ‐ shelf stable,43,45.3,0.0069,50,191.7,0.0061
Shortening & oil,44,44.6,0.0068,57,174.2,0.0055
Sugars & sweeteners,45,43.3,0.0066,60,162.4,0.0052
Isotonic drinks,46,42.8,0.0065,53,185.3,0.0059
Salad mix,47,42.8,0.0065,22,319.4,0.0101
Milk by‐products,48,42.5,0.0065,32,268.9,0.0085
Pork boneless loin/rib,49,41.5,0.0063,58,168,0.0053
Cnv breakfast&wholesome snacks,50,41.1,0.0062,45,226.1,0.0072
Frozen ss economy meals,51,40.9,0.0062,109,80.7,0.0026
Refrigerated dough products,52,40.5,0.0062,56,176.6,0.0056
Beef: round,53,40.4,0.0061,75,134.2,0.0043
Dry bean veg&rice,54,39.9,0.0061,59,166.1,0.0053
Convenient meals,55,38.7,0.0059,108,81,0.0026
Tomatoes,56,38.3,0.0058,35,261.7,0.0083
Candy ‐ checklane,57,37.9,0.0058,64,154,0.0049
Berries,58,37.4,0.0057,19,373.5,0.0119
Grapes,59,36.1,0.0055,39,235.7,0.0075
Bananas,60,36.1,0.0055,36,261.4,0.0083
Peanut butter/jelly/jams&honey,61,36,0.0055,42,231,0.0073
Pork thin meats,62,35,0.0053,93,106.8,0.0034
Citrus,63,34.3,0.0052,37,251.7,0.008
Breakfast sausage,64,34.2,0.0052,79,126.7,0.004
Dry sauce/gravy/potatoes/stuffing,65,34,0.0052,87,119.2,0.0038
Salad & dips,66,33.9,0.0052,40,235.3,0.0075
Apples,67,33.7,0.0051,29,281.7,0.0089
Meat ‐ shelf stable,68,33.3,0.0051,91,109.2,0.0035
Aseptic juice,69,33.1,0.005,112,78.9,0.0025
Sweet goods,70,32.5,0.0049,66,152.9,0.0049
Frozen potatoes,71,32.2,0.0049,95,104.5,0.0033
Meat frozen,72,31.9,0.0048,120,69.9,0.0022
Baby foods,73,30.6,0.0046,121,67.8,0.0022
Vegetables salad,74,30,0.0046,44,228.6,0.0073
Beef: thin meats,75,30,0.0046,78,127.7,0.0041
Seafood ‐ shrimp,76,29.8,0.0045,84,123.1,0.0039
Canned soups,77,29.7,0.0045,65,153.6,0.0049
Baking mixes,78,28.3,0.0043,69,148.1,0.0047
Pasta & pizza sauce,79,27.6,0.0042,99,96.7,0.0031
Dry noodles & pasta,80,27.5,0.0042,71,141.5,0.0045
Can seafood ‐ shelf stable,81,26.5,0.004,77,132.3,0.0042
Rts/micro soup/broth,82,26,0.004,48,200.8,0.0064
Canned pasta&mwv fd‐shlf stbl,83,25.9,0.0039,135,56.7,0.0018
Smoked hams,84,25.7,0.0039,92,108.8,0.0035
Nuts,85,25.6,0.0039,41,234.2,0.0074
Value added fruit,86,25.3,0.0038,70,146.6,0.0047
Can beans,87,24,0.0036,82,123.3,0.0039
Dry/ramen bouillon,88,21.7,0.0033,133,61,0.0019
Powder & crystal drink mix,89,21.6,0.0033,119,75.2,0.0024
Rtd tea/new age juice,90,21.5,0.0033,103,93.8,0.003
Baking needs,91,21.3,0.0032,51,188.9,0.006
Can fruit/jar applesauce,92,20.9,0.0032,96,104,0.0033
Spices & extracts,93,20.4,0.0031,86,121.9,0.0039
Energy drinks,94,20.1,0.003,102,94.1,0.003
Onions,95,20,0.003,81,123.5,0.0039
Tropical fruit,96,19.8,0.003,61,160.1,0.0051
Bagels&cream cheese,97,19.8,0.003,83,123.2,0.0039
Frozen bread/dough,98,19.7,0.003,114,77.7,0.0025
Rolls,99,18.9,0.0029,88,113.9,0.0036
Hot cereal,100,18.9,0.0029,100,96.1,0.003
Tomato products‐shelf stable,101,18.8,0.0029,90,112.5,0.0036
Bread,102,18.7,0.0028,49,194.7,0.0062
Frozen desserts,103,18.7,0.0028,107,82.9,0.0026
Chicken & poultry,104,18.7,0.0028,140,50.3,0.0016
Refrigerated dairy case,105,18.6,0.0028,26,284.7,0.009
Dry cheese,106,18.5,0.0028,111,79.1,0.0025
Stone fruit,107,18.3,0.0028,73,138.6,0.0044
Molasses/syrups/pancake mixes,108,17.9,0.0027,110,80.6,0.0026
Peppers,109,17.7,0.0027,76,133.4,0.0042
Fruit snacks,110,17.6,0.0027,152,43.2,0.0014
Vegetables cooking bulk,111,17.3,0.0026,68,150.6,0.0048
Sandwiches,112,16.9,0.0026,124,67.7,0.0021
Service case meat,113,16.8,0.0026,97,101.4,0.0032
Melons,114,16.7,0.0025,89,113.2,0.0036
Popcorn,115,15.3,0.0023,117,76.6,0.0024
Warehouse snacks,116,14.7,0.0022,125,67.1,0.0021
Dry mix desserts,117,14.7,0.0022,128,65,0.0021
Single serve fruit/applesauce,118,14.6,0.0022,127,65.4,0.0021
Frozen seafood,119,13.8,0.0021,155,41,0.0013
Flour & meals,120,13.8,0.0021,126,65.7,0.0021
Pickle/relish/pckld veg&olives,121,13.5,0.0021,106,83.1,0.0026
Turkey grinds,122,13.1,0.002,113,78,0.0025
Bulk service case cheese,123,12.5,0.0019,104,87.1,0.0028
Pies,124,12.3,0.0019,123,67.7,0.0021
Water,125,12.3,0.0019,122,67.8,0.0022
Sushi,126,11.8,0.0018,94,104.6,0.0033
Teas,127,11.4,0.0017,116,76.9,0.0024
Authentic Hispanic foods&products,128,11,0.0017,165,31.7,0.001
Cookie/cracker multi‐pks,129,10.9,0.0016,136,52.7,0.0017
Carrots,130,10.6,0.0016,98,97.3,0.0031
Pork shoulder,131,10.5,0.0016,164,32.1,0.001
Cocoa mixes,132,10.4,0.0016,153,43,0.0014
Juices super premium,133,10.3,0.0016,130,63.2,0.002
Snack meat,134,10.3,0.0016,147,47.9,0.0015
Seafood – catfish,135,9.8,0.0015,191,17.6,0.0006
Turkey frozen,136,9.7,0.0015,138,51.8,0.0016
Specialty cheese pre pack,137,9.6,0.0015,67,152.4,0.0048
Smoked pork,138,9.4,0.0014,156,39.2,0.0012
Frozen ice,139,9.3,0.0014,142,49.9,0.0016
Seafood – crab,140,9.2,0.0014,182,24.5,0.0008
Mushrooms,141,9.1,0.0014,105,85.7,0.0027
Value added vegetables,142,9,0.0014,115,77,0.0024
Seafood ‐ value added seafood,143,8.9,0.0014,178,25.6,0.0008
Sweet goods & snacks,144,8.6,0.0013,146,48.3,0.0015
